semester,sex,exam1,exam2,exam3,course_grade
2000-1,Man,84.5,69.5,86.5,76.2564
2000-1,Man,80,74,67,75.3882
2000-1,Man,56,70,71.5,67.0564
2000-1,Man,64,61,67.5,63.4538
2000-1,Man,90.5,72.5,75,72.3949
2000-1,Man,74,78.5,84.5,71.4128
2000-1,Man,60.5,44,58,56.0949
2000-1,Man,89,82,88,78.0103
2000-1,Woman,87.5,86.5,95,82.9026
2000-1,Man,91,98,88,89.0846
2000-1,Man,79.5,88,56,72.9769
2000-1,Man,96,91.5,78,82.5282
2000-1,Man,55,79.5,72,69.9872
2000-1,Man,80,83.5,70,67.7256
2000-1,Woman,64.5,83.5,77,80.3051
2000-1,Man,73,90,96,74.8744
2000-1,Man,83,79,65,71.1615
2000-1,Man,72,91,90,76.5615
2000-1,Woman,57.9,53,47,56.9903
2000-1,Man,89,83.5,78.5,80.8026
2000-1,Woman,69,57,88,69.4308
2000-1,Woman,91,91,95.5,92.0051
2000-1,Man,68,84.5,64,67.9051
2000-1,Man,83,89.5,93,79.7872
2000-1,Man,72,77.5,67,67.1256
2000-1,Woman,56,45,61,58.6308
2000-1,Man,55,71,72,67.8308
2000-1,Woman,68.5,64,93,77.6903
2000-1,Man,68.5,79.5,50.5,69.9308
2000-1,Man,70,71,76,69.6769
2000-1,Man,75,81,81.5,68.0923
2000-1,Man,68.5,66,58,60.3128
2000-1,Man,54,84,88,72.3821
2000-1,Man,79.6,67,72,67.4787
2000-1,Man,85,61,44.5,66.2364
2000-1,Man,82,86.5,92.5,83.3231
2000-1,Woman,65,83.5,87,77.6436
2000-1,Woman,76,50,91.5,70.9462
2000-1,Man,94.5,67,96,86.0133
2000-1,Man,72,67,90,72.0269
2000-1,Man,65.5,82.5,79,77.0282
2000-1,Man,61.5,80.5,81.5,68.2821
2000-1,Man,65,50,43.5,43.2733
2000-1,Man,63,82,88,70.1031
2000-1,Man,75,66.5,76,65.0846
2000-1,Man,69.5,70.5,76,68.6538
2000-1,Woman,60,95,91,83.0508
2000-1,Man,84,88,67,75.0856
2000-1,Man,90,99.5,87.5,74.4718
2000-1,Woman,62.5,85.5,85.5,74.4821
2000-1,Man,88.5,86.5,70,77.9526
2000-2,Man,74.5,83,62.4,78.7554
2000-2,Man,73.5,69.5,74.5,69.0228
2000-2,Man,75,60.5,80.9,68.6502
2000-2,Man,76.5,76,61,73.6702
2000-2,Woman,90.5,68,59,69.7842
2000-2,Man,88,77.5,90.5,84.1474
2000-2,Man,87.2727,58,28,49.1931
